anio,territorio,Femenino,Masculino,brecha_absoluta,razon
2005,Huila,4.662765486209871,10.001276758735157,5.338511272525286,2.1449238200621354
2006,Huila,4.397288757389016,11.549550722476896,7.15226196508788,2.6265163285148208
2007,Huila,3.5174111853675694,14.510328244353929,10.99291705898636,4.125286319869822
2008,Huila,5.52107722351161,12.896807119037529,7.375729895525919,2.335922247947599
2009,Huila,3.03112970203995,10.717680127803279,7.686550425763329,3.53586985096358
2010,Huila,3.3943721310067905,10.788283923658906,7.393911792652116,3.1782855583542156
2011,Huila,1.7757643679068078,9.869836594985333,8.094072227078525,5.558077847129829
2012,Huila,3.3152101843256863,12.290380728683019,8.975170544357333,3.707270442999946
2013,Huila,3.469926341174724,10.22161621109759,6.751689869922866,2.9457732545518875
2014,Huila,2.858177245098226,11.822923122395858,8.964745877297633,4.13652552257638
2015,Huila,3.7662230055966073,13.76400204386003,9.997779038263422,3.6545902946816273
2016,Huila,4.46530735268672,12.489770505127332,8.024463152440612,2.7970684924101343
2017,Huila,1.4703990295366405,11.795408637187974,10.325009607651333,8.021909971543575
2018,Huila,1.813920753430124,10.927090807766975,9.113170054336852,6.024017745595471
2019,Huila,2.8710057133013693,10.45896838506315,7.5879626717617805,3.642963278201346
2020,Huila,2.4555759992001835,10.762553371678607,8.306977372478423,4.3829037973917835
2021,Huila,3.46144127491805,14.823418210482075,11.361976935564025,4.282441050753641
2022,Huila,2.906126970396823,12.942370213911495,10.036243243514672,4.453477203765895
2023,Huila,3.038964590997574,9.724539619821682,6.685575028824108,3.1999516047765115
2024,Huila,3.0027224683713234,12.314086809251421,9.311364340880097,4.100974012403678
2025,Huila,2.804345746137426,11.016230579720789,8.211884833583362,3.928271182287001
2005,Nacional,2.198538993160472,8.090844966635421,5.892305973474949,3.6801007359003286
2006,Nacional,2.144274610039708,8.354694162560191,6.2104195525204835,3.8962799463476734
2007,Nacional,2.105724859001491,8.36984178607641,6.2641169270749195,3.9748031421566092
2008,Nacional,2.0505657697373776,8.434213160995979,6.383647391258601,4.113115163370827
2009,Nacional,2.014432147315423,8.484208421950337,6.4697762746349134,4.211712185618662
2010,Nacional,1.7699151250098168,7.963207020511462,6.193291895501645,4.499202762882369
2011,Nacional,1.6896607196476214,7.646506888728435,5.956846169080814,4.525468811468325
2012,Nacional,1.6858513941598972,7.888119879100842,6.202268484940944,4.679012578704597
2013,Nacional,1.7472906101940038,7.499034313990452,5.751743703796448,4.2918071385720005
2014,Nacional,1.5896107145915495,7.852545226253463,6.262934511661914,4.939917147118107
2015,Nacional,2.0477194793546296,8.215065203717742,6.167345724363113,4.011811816287867
2016,Nacional,1.869355393567059,8.870706292354567,7.001350898787509,4.745328963599425
2017,Nacional,2.0889893787275406,9.496933671613277,7.407944292885737,4.546185714643563
2018,Nacional,2.0781677058652983,9.994363535301632,7.916195829436334,4.809218961055996
2019,Nacional,2.3227291711635747,9.700011395440738,7.377282224277163,4.176126737402408
2020,Nacional,2.0674835153100255,8.994005647504657,6.926522132194632,4.35021879541128
2021,Nacional,2.2253248467651634,9.874261197962994,7.648936351197831,4.437222373316275
2022,Nacional,2.309795958068773,9.536213811584629,7.226417853515856,4.12859576547094
2023,Nacional,2.2222647054719227,8.00831389325926,5.786049187787337,3.603672358895969
2024,Nacional,1.8385956213548729,7.788065091582668,5.949469470227795,4.235877101591046
2025,Nacional,1.1915651310971724,4.888215161406974,3.6966500303098013,4.102348276091287
2005,Suaza,0,11.676786548341896,11.676786548341896,NA
2006,Suaza,24.73410833539451,0,-24.73410833539451,NA
2007,Suaza,0,0,0,NA
2008,Suaza,11.816140848398913,0,-11.816140848398913,NA
2009,Suaza,0,21.287919105907395,21.287919105907395,NA
2010,Suaza,0,20.77274615704196,20.77274615704196,NA
2011,Suaza,0,0,0,NA
2012,Suaza,0,9.998000399920016,9.998000399920016,NA
2013,Suaza,10.495382031905962,19.60015680125441,9.104774769348449,1.8675029400235201
2014,Suaza,0,19.19754271453254,19.19754271453254,NA
2015,Suaza,0,9.42240648261566,9.42240648261566,NA
2016,Suaza,9.890218573830483,0,-9.890218573830483,NA
2017,Suaza,0,0,0,NA
2018,Suaza,0,8.823788934968675,8.823788934968675,NA
2019,Suaza,0,8.64677907479464,8.64677907479464,NA
2020,Suaza,9.11826388255676,17.041581458759374,7.923317576202614,1.8689502385821406
2021,Suaza,8.964589870013446,8.411843876177658,-0.5527459938357886,0.9383411843876178
2022,Suaza,0,33.38062254861053,33.38062254861053,NA
2023,Suaza,0,0,0,NA
2024,Suaza,0,8.171269815329302,8.171269815329302,NA
2025,Suaza,17.022725338326666,16.182539040375435,-0.8401862979512309,0.950643255926855
